,UF,MUNICIPIO_DESCRICAO,Demais,EPP,ME,MEI
634,CE,Missão Velha,38,25,430,446
635,CE,Mombaça,63,41,533,626
636,CE,Monsenhor Tabosa,12,19,207,291
637,CE,Morada Nova,118,72,1082,1439
638,CE,Moraújo,9,2,68,174
639,CE,Morrinhos,16,5,365,547
640,CE,Mucambo,18,5,166,358
641,CE,Mulungu,10,10,130,207
642,CE,Nova Olinda,22,12,251,268
643,CE,Nova Russas,55,37,635,1253
644,CE,Novo Oriente,27,14,417,478
645,CE,Ocara,25,23,278,703
646,CE,Orós,28,6,285,398
647,CE,Pacajus,199,143,1280,2788
648,CE,Pacatuba,180,96,1197,2749
649,CE,Pacoti,17,8,172,279
650,CE,Pacujá,5,4,101,278
651,CE,Palhano,14,8,123,279
652,CE,Palmácia,11,4,100,197
653,CE,Paracuru,106,55,816,1431
654,CE,Paraipaba,74,32,617,846
655,CE,Parambu,31,15,295,657
656,CE,Paramoti,5,4,128,212
657,CE,Pedra Branca,43,26,527,814
658,CE,Penaforte,13,14,138,170
659,CE,Pentecoste,47,43,521,853
660,CE,Pereiro,37,17,162,226
661,CE,Pindoretama,51,33,507,753
662,CE,Piquet Carneiro,13,9,154,312
663,CE,Pires Ferreira,4,5,93,161
664,CE,Poranga,9,6,120,209
665,CE,Porteiras,12,9,172,208
666,CE,Potengi,10,4,125,139
667,CE,Potiretama,7,4,66,108
668,CE,Quiterianópolis,19,7,214,341
669,CE,Quixadá,206,158,1384,2558
670,CE,Quixelô,15,15,190,160
671,CE,Quixeramobim,148,87,1089,1990
672,CE,Quixeré,74,35,362,651
673,CE,Redenção,36,17,336,671
674,CE,Reriutaba,9,27,355,478
675,CE,Russas,212,133,1686,3035
676,CE,Saboeiro,11,5,130,139
677,CE,Salitre,11,3,174,133
678,CE,Santa Quitéria,81,48,947,989
679,CE,Santana do Acaraú,46,8,338,403
680,CE,Santana do Cariri,13,7,116,178
681,CE,São Benedito,80,78,932,1582
682,CE,São Gonçalo do Amarante,295,85,1201,1761
683,CE,São João do Jaguaribe,6,4,83,77
684,CE,São Luís do Curu,25,10,106,275
685,CE,Senador Pompeu,42,28,364,519
686,CE,Senador Sá,5,1,110,192
687,CE,Sobral,712,378,5054,7992
688,CE,Solonópole,32,22,276,354
689,CE,Tabuleiro do Norte,68,90,632,976
690,CE,Tamboril,14,12,285,432
691,CE,Tarrafas,7,5,85,113
692,CE,Tauá,149,54,1060,2026
693,CE,Tejuçuoca,12,5,143,300
694,CE,Tianguá,214,190,2260,3196
695,CE,Trairi,190,60,957,1082
696,CE,Tururu,14,5,118,316
697,CE,Ubajara,72,50,584,979
698,CE,Umari,2,2,52,92
699,CE,Umirim,22,7,138,285
700,CE,Uruburetama,28,9,234,526
701,CE,Uruoca,17,11,155,252
702,CE,Varjota,47,28,475,694
703,CE,Várzea Alegre,48,72,653,995
704,CE,Viçosa do Ceará,46,75,765,1244
705,MA,Totais,15545,18820,126028,131026
706,MA,Açailândia,356,325,2607,2689
707,MA,Afonso Cunha,7,6,45,42
